"playerName","games","passAtt","passComp","passYard","passTD","passXP","passINT","recTarget","recR","recYard","recTD","recXP","rushAtt","rushYard","rushTD","rushXP","prPressure","prSnaps","prRate","prBPR","prUPR","prSack","ppPressure","ppSnaps","ppPRA","ppSack","defTackle","defINT","penaltyCount","penaltyYard","explosiveness","possession"
"K.Lynch",1,10,7,132,0,3,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,NA
"J.Loome",8,30,17,241,3,0,1,24,16,154,1,2,2,49,1,0,0,0,NA,NA,NA,0,19.5,124,0.157258064516129,1,18,0,0,0,11.2777777777778,0.666666666666667
"C.MacPherson",1,40,29,383,4,2,1,1,1,10,0,1,3,3,2,0,2,4,0.5,0.5,0.5,0,0,0,NA,0,5,0,1,5,3.25,1
"AJ.Reust",7,271,167,2134,28,13,10,0,0,0,0,0,18,116,3,2,0,0,NA,NA,NA,0,0,0,NA,0,13,0,1,14,6.44444444444444,NA
"B.Hotchkiss",1,1,1,10,0,1,0,10,7,71,2,0,1,-2,0,0,0,3,0,0,NA,0,2.5,12,0.208333333333333,0,3,0,2,10,8.625,0.7
"C.Daniel",1,30,18,271,3,2,3,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,NA,0,2,0,1,7,1,NA
"A.Billingsley",2,43,20,220,3,1,1,1,0,0,0,0,1,23,0,0,0,0,NA,NA,NA,0,0,0,NA,0,5,0,2,10,23,0
"W.Eck",2,40,19,301,5,1,0,0,0,0,0,0,7,15,2,0,1,14,0.0714285714285714,0.0714285714285714,NA,0,0,0,NA,0,0,0,0,0,2.14285714285714,NA
"[Maya]",1,2,1,23,0,0,0,7,2,14,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,3,0,0,4,0,0,0,7,0.285714285714286
"[WhiteHat]",1,1,0,0,0,0,1,3,2,17,0,0,0,0,0,0,1,14,0.0714285714285714,0.0454545454545455,0.166666666666667,0,4.5,33,0.136363636363636,0,2,0,2,8,8.5,0.666666666666667
"A.Aldrian",2,71,42,624,8,2,3,1,1,10,0,0,3,43,1,0,3,7,0.428571428571429,0.5,0.333333333333333,0,0.5,3,0.166666666666667,0,3,0,1,5,13.25,1
"[PinkShorts]",2,6,1,10,0,0,1,4,3,32,0,0,1,2,0,0,0,2,0,NA,0,0,3,11,0.272727272727273,0,6,0,1,5,8.5,0.75
"K.Smiffy",8,1,1,6,0,0,0,31,23,297,4,0,0,0,0,0,0.5,2,0.25,NA,0.25,0,4,9,0.444444444444444,2,5,0,1,5,12.9130434782609,0.741935483870968
"A.Brown",1,17,7,138,2,1,0,0,0,0,0,0,1,10,0,1,0,0,NA,NA,NA,0,0,0,NA,0,11,0,0,0,10,NA
"M.Bromell",1,0,0,0,0,0,0,5,2,84,0,0,8,33,2,0,3.5,8,0.4375,0.416666666666667,0.5,0,0,0,NA,0,0,0,0,0,11.7,0.4
"C.Dunst",4,0,0,0,0,0,0,39,28,435,3,4,0,0,0,0,0.5,7,0.0714285714285714,0,0.25,0,0,0,NA,0,9,0,0,0,15.5357142857143,0.717948717948718
"A.Beck",7,0,0,0,0,0,0,31,19,151,4,1,0,0,0,0,20.5,133,0.154135338345865,0.125,0.555555555555556,1,34,196,0.173469387755102,2,11,0,1,5,7.94736842105263,0.612903225806452
"J.Varela",8,0,0,0,0,0,0,100,70,1183,16,6,1,1,1,0,10,37,0.27027027027027,0.25,0.4,1,0,0,NA,0,29,0,1,10,16.6760563380282,0.7
"S.Brooks",7,0,0,0,0,0,0,15,11,91,2,0,1,-3,0,0,6,20,0.3,0.294117647058824,0.333333333333333,1,3,16,0.1875,0,15,0,0,0,7.33333333333333,0.733333333333333
"Unknown",2,0,0,0,0,0,0,3,3,30,0,2,1,5,0,0,5,31,0.161290322580645,0.0833333333333333,0.428571428571429,0,0,0,NA,0,12,0,0,0,8.75,1
"S.Sonon",1,0,0,0,0,0,0,1,1,13,0,0,0,0,0,0,0,0,NA,NA,NA,0,0.5,7,0.0714285714285714,0,0,0,0,0,13,1
"C.Russell",1,0,0,0,0,0,0,1,1,5,0,1,4,17,0,0,0,0,NA,NA,NA,0,0,0,NA,0,2,0,0,0,4.4,1
"T.Agaba",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,5,16,0.3125,1,1,0,0,0,NA,0
"E.Shultz",1,0,0,0,0,0,0,7,4,49,1,1,0,0,0,0,0.5,4,0.125,0,0.25,0,0,0,NA,0,4,0,0,0,12.25,0.571428571428571
"A.Peck",5,0,0,0,0,0,0,3,2,22,0,0,0,0,0,0,18.5,92,0.201086956521739,0.125,0.5625,2,0,0,NA,0,3,0,1,3,11,0.666666666666667
"[FGCenter]",1,0,0,0,0,0,0,5,5,82,1,0,0,0,0,0,0.5,9,0.0555555555555556,0.0714285714285714,0,0,8,30,0.266666666666667,0,0,0,2,10,16.4,1
"A.Hoyler",1,0,0,0,0,0,0,9,8,126,0,1,0,0,0,0,0,2,0,NA,0,0,0,0,NA,0,5,0,0,0,15.75,0.888888888888889
"D.Holt",1,0,0,0,0,0,0,5,4,52,0,0,0,0,0,0,5.5,32,0.171875,0.15,0.5,1,0,0,NA,0,1,0,0,0,13,0.8
"V.Jones",1,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,1,0,NA,0,0,1,11,0.0909090909090909,0,0,0,0,0,3,0.5
"K.Oliver",3,0,0,0,0,0,0,3,2,26,2,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,13,0.666666666666667
"TJ.Callan",1,0,0,0,0,0,0,9,5,111,2,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,4,0,0,0,22.2,0.555555555555556
"[BlackBandana]",1,0,0,0,0,0,0,8,7,107,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,3,0,0,0,15.2857142857143,0.875
"F.Herrera",6,0,0,0,0,0,0,1,1,29,0,0,0,0,0,0,35,98,0.357142857142857,0.278481012658228,0.684210526315789,3,1,5,0.2,0,5,0,0,0,29,1
"B.McElroy",1,0,0,0,0,0,0,4,2,11,0,0,0,0,0,0,3.5,8,0.4375,0.333333333333333,0.75,1,5.5,14,0.392857142857143,1,5,0,0,0,5.5,0.5
"JK.Kinney",6,0,0,0,0,0,0,19,14,113,0,0,0,0,0,0,1.5,2,0.75,1,0.5,1,18.5,90,0.205555555555556,1,10,0,1,5,8.07142857142857,0.736842105263158
"[Glasses]",1,0,0,0,0,0,0,3,3,26,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,2,0,0,0,8.66666666666667,1
"[Andre.C]",1,0,0,0,0,0,0,2,1,22,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,4,0,0,0,22,0.5
"TJ.Baggett",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.5,NA,0.5,0,8,26,0.307692307692308,1,0,0,0,0,NA,0
"J.Mahoney",1,0,0,0,0,0,0,19,13,183,2,1,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,0,1,0,0,0,14.0769230769231,0.684210526315789
"C.Harper",1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,3,0.333333333333333
"[Short]",1,0,0,0,0,0,0,3,2,24,1,0,0,0,0,0,5,13,0.384615384615385,0.363636363636364,0.5,0,0,0,NA,0,3,0,3,8,12,0.666666666666667
"G.Yeager",1,0,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,0,NA,NA,NA,0,6.5,37,0.175675675675676,1,0,0,0,0,10,0.5
"C.Morris",1,0,0,0,0,0,0,11,8,105,3,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,4,0,0,0,13.125,0.727272727272727
"A.Are",1,0,0,0,0,0,0,7,3,67,1,0,2,4,1,0,0,0,NA,NA,NA,0,0,0,NA,0,1,0,1,10,14.2,0.428571428571429
"J.Dillard",1,0,0,0,0,0,0,3,1,15,0,0,0,0,0,0,0,0,NA,NA,NA,0,3.5,21,0.166666666666667,1,0,0,0,0,15,0.333333333333333
"Q.McKenzie",1,0,0,0,0,0,0,2,1,13,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,3,0,0,0,13,0.5
"[TallWhite]",1,0,0,0,0,0,0,4,2,16,0,0,0,0,0,0,0,0,NA,NA,NA,0,6.5,38,0.171052631578947,1,0,0,0,0,8,0.5
"I.Torres",1,0,0,0,0,0,0,6,3,49,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,3,0,0,0,16.3333333333333,0.5
"[GreenHat]",1,0,0,0,0,0,0,1,1,46,0,0,0,0,0,0,8,31,0.258064516129032,0.18,0.583333333333333,0,0,0,NA,0,0,0,3,25,46,1
"C.Do",2,0,0,0,0,0,0,9,5,114,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,4,0,0,0,22.8,0.555555555555556
"T.Phillips",2,0,0,0,0,0,0,15,8,131,2,0,1,-1,0,0,15,49,0.306122448979592,0.337837837837838,0.208333333333333,1,5,27,0.185185185185185,1,1,0,1,5,14.4444444444444,0.533333333333333
"[WCenter]",2,0,0,0,0,0,0,6,4,68,1,0,0,0,0,0,3,11,0.272727272727273,0.125,0.666666666666667,0,9,59,0.152542372881356,0,3,0,1,5,17,0.666666666666667
"J.Zanoni",2,0,0,0,0,0,0,4,2,27,1,0,0,0,0,0,17,62,0.274193548387097,0.232142857142857,0.666666666666667,3,0,0,NA,0,7,0,1,10,13.5,0.5
"A.Beardsley",1,0,0,0,0,0,0,4,2,17,1,0,0,0,0,0,0,4,0,0,NA,0,0,2,0,0,1,0,0,0,8.5,0.5
"T.Adams",2,0,0,0,0,0,0,4,1,19,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,19,0.25
"J.Beacher",1,0,0,0,0,0,0,4,3,26,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,2,0,0,1,0,0,0,8.66666666666667,0.75
"S.Miles",6,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,14.5,93,0.155913978494624,0.147435897435897,0.2,1,3,3,1,0,3,0,0,0,10,1
"C.Harris",1,0,0,0,0,0,0,3,1,32,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,3,0,0,0,32,0.333333333333333
"[CropTop]",1,0,0,0,0,0,0,5,3,63,1,0,1,11,0,0,4,9,0.444444444444444,0.5,0.416666666666667,1,0,1,0,0,2,0,2,13,18.5,0.6
"P.Whitney",1,0,0,0,0,0,0,5,3,53,1,1,2,1,0,0,0,0,NA,NA,NA,0,0,0,NA,0,6,0,0,0,10.8,0.6
"M.Japinga",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0
"B.Burke",1,0,0,0,0,0,0,9,7,96,1,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,8,0,1,5,13.7142857142857,0.777777777777778
"[Center2]",1,0,0,0,0,0,0,7,5,32,0,0,0,0,0,0,0,1,0,NA,0,0,4,24,0.166666666666667,1,2,0,2,10,6.4,0.714285714285714
"J.Riley",1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,NA,NA,NA,0,1,10,0.1,0,0,0,0,0,3,NA
"A.Mable",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,12,0.208333333333333,0,0.416666666666667,0,1,8,0.125,0,3,0,2,15,1,NA
"C.Mangini",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,16,0.21875,0.178571428571429,0.5,0,0,0,NA,0,1,0,0,0,NA,NA
"[WhiteHate]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,1,0,0,0,NA,NA
"[Unknown]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,0,1,0,0,0,NA,NA
"A.Hunter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0.222222222222222,0.17741935483871,0.5,2,0,0,NA,0,2,0,0,0,NA,NA
"P.Dickos",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.75,NA,0.75,0,0,0,NA,0,3,0,0,0,NA,NA
"S.Thompson",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,0.433333333333333,0.433333333333333,NA,1,0,0,NA,0,0,0,0,0,NA,NA
"N.Martini",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,NA
"K.Smith",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0.133333333333333,0.133333333333333,NA,0,0,0,NA,0,0,0,0,0,NA,NA
"A.Maisel",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0.151515151515152,0.15,0.166666666666667,0,0,0,NA,0,0,0,0,0,NA,NA
"[BigMan]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,31,0.145161290322581,0.104166666666667,0.285714285714286,0,0.5,13,0.0384615384615385,0,0,0,2,5,NA,NA
"B.Brittain",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0.111111111111111,0,0.333333333333333,0,0,0,NA,0,0,0,0,0,NA,NA
"[Mullet]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,9,0.166666666666667,0.125,0.5,0,0,0,NA,0,0,0,0,0,NA,NA
