gameId,season,week,gameDate,gameTime,division,team1,team2,team1Final,team2Final,videoLink,Notes
2025090701,F25,1,9/7/2025,9:00 AM,OPEN,Light Blue,Coral,34,24,,
2025090702,F25,1,9/7/2025,9:00 AM,OPEN,Neon Pink,White,41,34,,
2025090703,F25,1,9/7/2025,9:00 AM,W+,Blue,Silver,12,18,,
2025090704,F25,1,9/7/2025,10:45 AM,OPEN,Purple,Kelly,19,20,,
2025090705,F25,1,9/7/2025,10:45 AM,W+,Seafoam,Cardinal,0,26,,
2025090706,F25,1,9/7/2025,10:45 AM,W+,Green,Corn,24,18,,
2025090707,F25,1,9/7/2025,10:45 AM,OPEN,Orange,Navy,26,28,,
2025090708,F25,1,9/7/2025,12:30 PM,OPEN,Royal Blue,Iron Gray,35,6,,
2025090709,F25,1,9/7/2025,12:30 PM,OPEN,Forest,Sapphire,32,12,,
2025090710,F25,1,9/7/2025,12:30 PM,OPEN,Seafoam,Gold,13,20,,
2025090711,F25,1,9/7/2025,12:30 PM,OPEN,Cardinal,Black,36,42,,
2025091401,F25,2,9/14/2025,9:00 AM,OPEN,Navy,Seafoam,13,19,,
2025091402,F25,2,9/14/2025,9:00 AM,OPEN,Kelly,Orange,12,19,,
2025091403,F25,2,9/14/2025,9:00 AM,OPEN,Iron Gray,Purple,6,40,,
2025091404,F25,2,9/14/2025,10:45 AM,OPEN,Forest,Black,31,18,,
2025091405,F25,2,9/14/2025,10:45 AM,W+,Silver,Corn,6,33,,
2025091406,F25,2,9/14/2025,10:45 AM,W+,Cardinal,Green,12,19,,
2025091407,F25,2,9/14/2025,10:45 AM,OPEN,Royal Blue,Gold,34,13,,
2025091408,F25,2,9/14/2025,10:45 AM,OPEN,Sapphire,Neon Pink,19,20,,
2025091409,F25,2,9/14/2025,12:30 PM,W+,Seafoam,Blue,0,28,,
2025091410,F25,2,9/14/2025,12:30 PM,OPEN,Light Blue,Cardinal,42,31,https://www.youtube.com/watch?v=qFTN00i3t4Y,
2025091411,F25,2,9/14/2025,12:30 PM,OPEN,White,Coral,32,25,,
2025092101,F25,3,9/21/2025,9:00 AM,W+,Cardinal,Corn,24,19,,
2025092102,F25,3,9/21/2025,9:00 AM,OPEN,Navy,Neon Pink,38,39,,
2025092103,F25,3,9/21/2025,9:00 AM,OPEN,Seafoam,Coral,13,31,,
2025092104,F25,3,9/21/2025,10:45 AM,OPEN,Purple,Sapphire,42,0,,
2025092105,F25,3,9/21/2025,10:45 AM,OPEN,Iron Gray,Cardinal,40,54,,
2025092106,F25,3,9/21/2025,10:45 AM,OPEN,Kelly,Black,32,31,,
2025092107,F25,3,9/21/2025,10:45 AM,W+,Blue,Green,0,20,,
2025092108,F25,3,9/21/2025,12:30 PM,OPEN,Gold,Forest,25,0,,
2025092109,F25,3,9/21/2025,12:30 PM,W+,Silver,Seafoam,14,0,,
2025092110,F25,3,9/21/2025,12:30 PM,OPEN,Orange,White,33,40,,
2025092111,F25,3,9/21/2025,12:30 PM,OPEN,Royal Blue,Light Blue,7,27,,
