gameId,playId,playDescription,half,down,yardsToGo,possessionTeam,defensiveTeam,yardline_100,preSnapTeam1Score,preSnapTeam2Score,offenseFormation,receiverAlignment,playType,timeToThrow,yardsGained,penaltyYards,manZone,passer,receiver,rusher,tackler,reception,passRush1,blocker1,pressure1,sack1,passRush2,blocker2,pressure2,sack2,passRush3,blocker3,pressure3,sack3,teamPressure,videoTimestamp,Notes
2025091410,1,(Extra Point) K.Lynch pass incomplete short middle to M.Bromell.,1,,5,Light Blue,Cardinal,5,20,7,Trips,3x1,pass,3,0,,zone,K.Lynch,M.Bromell,,,0,F.Herrera,J.Riley,0,0,A.Beck,S.Sonon,0,0,,,,,0,0:12,
2025091410,2,J.Loome pass short middle to C.Dunst for 7 yards (Unknown).,1,1,10,Cardinal,Light Blue,65,20,7,Even,2x2,pass,1,7,,zone,J.Loome,C.Dunst,,Unknown,1,Unknown,A.Beck,0,0,S.Thompson,JK.Kinney,0,0,,,,,0,1:08,
2025091410,3,J.Loome pass short right to A.Beck for 12 yards (Unknown).,1,2,3,Cardinal,Light Blue,58,20,7,Even,2x2,pass,5,12,,zone,J.Loome,A.Beck,,Unknown,1,S.Thompson,JK.Kinney,0.5,0,,,,,,,,,0,1:34,
2025091410,4,J.Loome pass short left to K.Smiffy for 6 yards (OOB).,1,1,10,Cardinal,Light Blue,46,20,7,Even,2x2,pass,1.5,6,,zone,J.Loome,K.Smiffy,,,1,Unknown,A.Beck,0,0,S.Thompson,JK.Kinney,0,0,,,,,0,2:14,
2025091410,5,J.Loome pass short middle to J.Varela for 5 yards (C.Russell).,1,2,4,Cardinal,Light Blue,40,20,7,Even,2x2,pass,2,5,,man,J.Loome,J.Varela,,C.Russell,1,Unknown,A.Beck,1,0,M.Bromell,,0,0,S.Thompson,JK.Kinney,1,0,1,2:43,
2025091410,6,"J.Loome pass deep right to J.Varela for 35 yards, TOUCHDOWN.",1,1,10,Cardinal,Light Blue,35,20,7,Even,2x2,pass,2.5,35,,zone,J.Loome,J.Varela,,,1,M.Bromell,A.Beck,0,0,Unknown,,0.5,0,S.Thompson,JK.Kinney,0,0,0.5,3:25,
2025091410,7,(Extra Point) J.Loome pass incomplete short right to S.Brooks,1,,5,Cardinal,Light Blue,5,20,13,Even,2x2,pass,4,0,,zone,J.Loome,S.Brooks,,,0,Unknown,A.Beck,0,0,S.Thompson,JK.Kinney,1,0,,,,,1,4:24,
2025091410,8,K.Lynch pass deep right to M.Bromell for 63 yards (J.Varela),1,1,10,Light Blue,Cardinal,65,20,13,Even,2x2,pass,3,63,,zone,K.Lynch,M.Bromell,,J.Varela,1,S.Miles,J.Riley,0,0,A.Beck,S.Sonon,0,0,,,,,0,5:26,
2025091410,9,M.Bromell up the middle for 1 yard (Kneel).,1,1,2,Light Blue,Cardinal,2,20,13,Jumbo,1x1,run,,1,,zone,,,M.Bromell,,,,,,,,,,,,,,,,7:17,
2025091410,10,"M.Bromell up the middle for 1 yard, TOUCHDOWN.",1,2,1,Light Blue,Cardinal,1,20,13,Jumbo,1x1,run,,1,,zone,,,M.Bromell,,,,,,,,,,,,,,,,7:54,
